,vf1,vf2,vc1,vc2,q1,q2,q3,q4,cg12,cg21,cg34,cg43,cl12,cl21,cl34,cl43
0,0,0,1,-1,3.803620640425373e-11,-3.932635278877863e-11,3.799507902816185e-11,-3.927393729131885e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680622e-11,1.8177078953680622e-11
1,10,0,1,-1,3.694885759078104e-11,-3.943661017046313e-11,3.786197243730971e-11,-3.928692402873442e-11,-1.8199313768150577e-11,-1.819931376815058e-11,-1.8177078953680625e-11,-1.8177078953680625e-11,1.8199313768150577e-11,1.819931376815058e-11,1.8177078953680625e-11,1.8177078953680625e-11
2,20,0,1,-1,3.5861508373624446e-11,-3.9546867606420204e-11,3.772886498139987e-11,-3.9299910555391664e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680622e-11,1.8177078953680622e-11
3,30,0,1,-1,3.4774159575774875e-11,-3.965712569543598e-11,3.759575801420062e-11,-3.9312897695431856e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680622e-11,1.8177078953680622e-11
4,40,0,1,-1,3.3686811129491554e-11,-3.976738418769464e-11,3.746265144295124e-11,-3.932588523297006e-11,-1.819931376815058e-11,-1.819931376815058e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.819931376815058e-11,1.819931376815058e-11,1.8177078953680622e-11,1.8177078953680622e-11
5,50,0,1,-1,3.2599462875199587e-11,-3.98776428784958e-11,3.7329545080263976e-11,-3.9338872971346876e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680622e-11,1.8177078953680622e-11
6,60,0,1,-1,3.1512114723336574e-11,-3.998790166842365e-11,3.7196438825814346e-11,-3.935186081214586e-11,-1.8199313768150574e-11,-1.8199313768150574e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150574e-11,1.8199313768150574e-11,1.8177078953680622e-11,1.8177078953680622e-11
7,70,0,1,-1,3.042476662884326e-11,-4.0098160510992355e-11,3.706333263059723e-11,-3.936484870839749e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680622e-11,1.8177078953680622e-11
8,80,0,1,-1,2.9337418568396894e-11,-4.0208419383357935e-11,3.693022646981182e-11,-3.9377836636626364e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680625e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680625e-11,1.8177078953680622e-11
9,90,0,1,-1,2.8250070529257764e-11,-4.031867827356505e-11,3.6797120330166314e-11,-3.939082458435531e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680622e-11,1.8177078953680622e-11
10,100,0,1,-1,2.7162722504077688e-11,-4.0428937174975696e-11,3.666401420412239e-11,-3.94038125445559e-11,-1.8199313768150577e-11,-1.8199313768150577e-11,-1.8177078953680622e-11,-1.8177078953680622e-11,1.8199313768150577e-11,1.8199313768150577e-11,1.8177078953680622e-11,1.8177078953680622e-11
