x-axis,1,2
second,Volt,Volt
-50.000E-03,+1.065625E+00,+934.375E-03
-49.900E-03,+1.159375E+00,+1.075000E+00
-49.800E-03,+1.268750E+00,+1.168750E+00
-49.700E-03,+1.393750E+00,+1.309375E+00
-49.600E-03,+1.503125E+00,+1.434375E+00
-49.500E-03,+1.628125E+00,+1.559375E+00
-49.400E-03,+1.737500E+00,+1.700000E+00
-49.300E-03,+1.831250E+00,+1.809375E+00
-49.200E-03,+1.940625E+00,+1.918750E+00
-49.100E-03,+2.003125E+00,+2.012500E+00
-49.000E-03,+2.050000E+00,+2.059375E+00
-48.900E-03,+2.081250E+00,+2.121875E+00
-48.800E-03,+2.096875E+00,+2.153125E+00
-48.700E-03,+2.096875E+00,+2.137500E+00
-48.600E-03,+2.081250E+00,+2.106250E+00
-48.500E-03,+2.018750E+00,+2.075000E+00
-48.400E-03,+1.956250E+00,+2.012500E+00
-48.300E-03,+1.878125E+00,+1.918750E+00
-48.200E-03,+1.800000E+00,+1.793750E+00
-48.100E-03,+1.675000E+00,+1.684375E+00
-48.000E-03,+1.534375E+00,+1.543750E+00
-47.900E-03,+1.425000E+00,+1.418750E+00
-47.800E-03,+1.315625E+00,+1.278125E+00
-47.700E-03,+1.190625E+00,+1.153125E+00
-47.600E-03,+1.112500E+00,+1.028125E+00
-47.500E-03,+1.003125E+00,+950.000E-03
-47.400E-03,+925.000E-03,+856.250E-03
-47.300E-03,+878.125E-03,+809.375E-03
-47.200E-03,+846.875E-03,+762.500E-03
-47.100E-03,+846.875E-03,+731.250E-03
-47.000E-03,+862.500E-03,+762.500E-03
-46.900E-03,+893.750E-03,+762.500E-03
-46.800E-03,+971.875E-03,+840.625E-03
-46.700E-03,+1.018750E+00,+918.750E-03
-46.600E-03,+1.112500E+00,+1.012500E+00
-46.500E-03,+1.237500E+00,+1.121875E+00
-46.400E-03,+1.331250E+00,+1.246875E+00
-46.300E-03,+1.471875E+00,+1.371875E+00
-46.200E-03,+1.596875E+00,+1.543750E+00
-46.100E-03,+1.721875E+00,+1.653125E+00
-46.000E-03,+1.815625E+00,+1.778125E+00
-45.900E-03,+1.893750E+00,+1.871875E+00
-45.800E-03,+1.987500E+00,+1.981250E+00
-45.700E-03,+2.065625E+00,+2.043750E+00
-45.600E-03,+2.096875E+00,+2.106250E+00
-45.500E-03,+2.112500E+00,+2.153125E+00
-45.400E-03,+2.112500E+00,+2.137500E+00
-45.300E-03,+2.096875E+00,+2.137500E+00
-45.200E-03,+2.065625E+00,+2.090625E+00
