Designator,Description,Footprint,Comment,Center-X(mm),Center-Y(mm),Rotation,Layer
"R2_amplifier.SchDoc1, R2_amplifier.SchDoc2, R2_amplifier.SchDoc3, R2_amplifier.SchDoc4, R7_amplifier.SchDoc1, R7_amplifier.SchDoc2, R7_amplifier.SchDoc3, R7_amplifier.SchDoc4","RES CER 47R 1608 SM","ECE-RESC1608-0603SM","47R","7.493, 36.576, 65.532, 94.361, 21.463, 50.546, 79.502, 108.331","12.484","270","Top"
"R3_amplifier.SchDoc1, R3_amplifier.SchDoc2, R3_amplifier.SchDoc3, R3_amplifier.SchDoc4, R8_amplifier.SchDoc1, R8_amplifier.SchDoc2, R8_amplifier.SchDoc3, R8_amplifier.SchDoc4","RES CER 1K 1608 SM","ECE-RESC1608-0603SM","1K","9.525, 38.608, 67.564, 96.393, 11.938, 41.021, 69.977, 98.806","7.277","270","Top"
"R4_amplifier.SchDoc1, R4_amplifier.SchDoc2, R4_amplifier.SchDoc3, R4_amplifier.SchDoc4, R5_amplifier.SchDoc1, R5_amplifier.SchDoc2, R5_amplifier.SchDoc3, R5_amplifier.SchDoc4, R9_amplifier.SchDoc1, R9_amplifier.SchDoc2, R9_amplifier.SchDoc3, R9_amplifier.SchDoc4, R10_amplifier.SchDoc1, R10_amplifier.SchDoc2, R10_amplifier.SchDoc3, R10_amplifier.SchDoc4, R11","RES CER 220K 1608 SM","ECE-RESC1608-0603SM","220K","5.461, 34.544, 63.5, 92.329, 0.889, 29.972, 58.928, 87.757, 19.431, 48.514, 77.47, 106.299, 14.859, 43.942, 72.898, 101.727, -17.907","18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.58, 18.072","180, 180, 180, 180, 0, 0, 0, 0, 180, 180, 180, 180, 0, 0, 0, 0, 0","Top"
"R14","RES CER 470R 1608 SM","ECE-RESC1608-0603SM","470R","-21.971","14.516","90","Top"
"R15","RES CER 470K 1608 SM","ECE-RESC1608-0603SM","470K","-21.971","7.404","90","Top"
"R16","RES CER 47K 1608 SM","ECE-RESC1608-0603SM","47K","-21.971","10.96","90","Top"
"R19_amplifier.SchDoc1, R19_amplifier.SchDoc2, R19_amplifier.SchDoc3, R19_amplifier.SchDoc4, R20_amplifier.SchDoc1, R20_amplifier.SchDoc2, R20_amplifier.SchDoc3, R20_amplifier.SchDoc4","RES CER 10K 1608 SM","ECE-RESC1608-0603SM","10K","3.683, 32.766, 61.722, 90.551, 21.336, 50.419, 79.375, 108.204","4.991, 4.991, 4.991, 4.991, 7.912, 7.912, 7.912, 7.912","0, 0, 0, 0, 270, 270, 270, 270","Top"
"U1","LowNoise Vreg","DFN10","LT3042","-18.288","13.881","270","Top"
"U1_amplifier.SchDoc1, U1_amplifier.SchDoc2, U1_amplifier.SchDoc3, U1_amplifier.SchDoc4, U2_amplifier.SchDoc1, U2_amplifier.SchDoc2, U2_amplifier.SchDoc3, U2_amplifier.SchDoc4","Instrumentation amplifier, Low noise","S8_N","LT1167","3.429, 32.512, 61.468, 90.297, 17.399, 46.482, 75.438, 104.267","12.992","270","Top"
"U3","Refrence voltage source","S8_N","REF5025","-11.811","1.054","270","Top"
"U4_amplifier.SchDoc1, U4_amplifier.SchDoc2, U4_amplifier.SchDoc3, U4_amplifier.SchDoc4","45MHz, 45V/µs, Dual Rail-to-Rail Input and Output Precision Operational Amplifier","S8_N","LT1678","11.43, 40.513, 69.469, 98.298","1.181","180","Top"
