second,input,output,,
0.0775,6.83E+00,1.34E-01,,
0.078,6.58E+00,1.34E-01,,
0.0785,6.45E+00,1.34E-01,,
0.079,6.26E+00,1.34E-01,,
0.0795,6.08E+00,1.34E-01,,
0.08,5.95E+00,1.34E-01,,
0.0805,5.83E+00,1.34E-01,,
0.081,5.64E+00,1.34E-01,,
0.0815,5.51E+00,1.34E-01,,
0.082,5.26E+00,1.34E-01,,
0.0825,5.14E+00,1.34E-01,,
0.083,4.95E+00,1.34E-01,,
0.0835,4.70E+00,1.34E-01,,
0.084,4.58E+00,1.34E-01,,
0.0845,4.39E+00,1.34E-01,,
0.085,4.26E+00,1.34E-01,,
0.0855,4.08E+00,1.34E-01,,
0.086,3.89E+00,1.34E-01,,
0.0865,3.70E+00,1.34E-01,,
0.087,3.58E+00,1.34E-01,,
0.0875,3.33E+00,1.34E-01,,
0.088,3.20E+00,1.34E-01,,
0.0885,3.08E+00,1.34E-01,,
0.089,2.95E+00,1.34E-01,,
0.0895,2.83E+00,1.34E-01,,
0.09,2.70E+00,1.34E-01,,
0.0905,2.51E+00,1.34E-01,,
0.091,2.33E+00,1.34E-01,,
0.0915,2.26E+00,1.34E-01,,
0.092,2.14E+00,1.34E-01,,
0.0925,2.01E+00,1.34E-01,,
0.093,1.95E+00,1.34E-01,,
0.0935,1.95E+00,1.34E-01,,
0.094,1.70E+00,1.34E-01,,
0.0945,1.70E+00,1.34E-01,,
0.095,1.58E+00,1.34E-01,,
0.0955,1.51E+00,1.34E-01,,
0.096,1.51E+00,1.34E-01,,
0.0965,1.39E+00,1.34E-01,,
0.097,1.39E+00,1.34E-01,,
0.0975,1.33E+00,1.34E-01,,
0.098,1.39E+00,1.34E-01,,
0.0985,1.33E+00,1.34E-01,,
0.099,1.33E+00,1.34E-01,,
0.0995,1.26E+00,1.34E-01,,
0.1,1.26E+00,1.34E-01,,
0.1005,1.33E+00,1.34E-01,,
0.101,1.26E+00,1.34E-01,,
0.1015,1.33E+00,1.34E-01,,
0.102,1.45E+00,1.34E-01,,
0.1025,1.39E+00,1.34E-01,,
0.103,1.51E+00,1.34E-01,,
0.1035,1.51E+00,1.34E-01,,
0.104,1.64E+00,1.34E-01,,
0.1045,1.64E+00,1.34E-01,,
0.105,1.70E+00,1.34E-01,,
0.1055,1.89E+00,1.34E-01,,
0.106,2.01E+00,1.34E-01,,
0.1065,2.08E+00,1.34E-01,,
0.107,2.14E+00,1.34E-01,,
0.1075,2.26E+00,1.34E-01,,
0.108,2.45E+00,1.34E-01,,
0.1085,2.51E+00,1.34E-01,,
0.109,2.70E+00,1.34E-01,,
0.1095,2.76E+00,1.34E-01,,
0.11,2.95E+00,1.34E-01,,
0.1105,3.08E+00,1.34E-01,,
0.111,3.26E+00,1.34E-01,,
0.1115,3.39E+00,1.34E-01,,
0.112,3.58E+00,1.34E-01,,
0.1125,3.70E+00,1.34E-01,,
0.113,3.89E+00,1.34E-01,,
0.1135,4.08E+00,1.34E-01,,
0.114,4.26E+00,1.34E-01,,
0.1145,4.45E+00,1.34E-01,,
0.115,4.64E+00,1.34E-01,,
0.1155,4.76E+00,1.34E-01,,
0.116,4.95E+00,1.34E-01,,
0.1165,5.20E+00,1.34E-01,,
0.117,5.26E+00,1.34E-01,,
