second,input,output
0.00334,5.39E+00,1.34E-01
0.00336,5.51E+00,1.34E-01
0.00338,5.76E+00,1.34E-01
0.0034,5.70E+00,1.33E-01
0.00342,5.89E+00,1.33E-01
0.00344,6.01E+00,1.33E-01
0.00346,6.14E+00,1.32E-01
0.00348,6.33E+00,1.32E-01
0.0035,6.45E+00,1.33E-01
0.00352,6.58E+00,1.32E-01
0.00354,6.64E+00,1.32E-01
0.00356,6.83E+00,1.31E-01
0.00358,6.95E+00,1.31E-01
0.0036,7.08E+00,1.31E-01
0.00362,7.20E+00,1.31E-01
0.00364,7.26E+00,1.31E-01
0.00366,7.45E+00,1.30E-01
0.00368,7.51E+00,1.31E-01
0.0037,7.58E+00,1.31E-01
0.00372,7.70E+00,1.30E-01
0.00374,7.83E+00,1.29E-01
0.00376,7.83E+00,1.30E-01
0.00378,8.08E+00,1.30E-01
0.0038,8.01E+00,1.30E-01
0.00382,8.14E+00,1.29E-01
0.00384,8.20E+00,1.29E-01
0.00386,8.26E+00,1.29E-01
0.00388,8.39E+00,1.29E-01
0.0039,8.39E+00,1.29E-01
0.00392,8.39E+00,1.29E-01
0.00394,8.51E+00,1.29E-01
0.00396,8.51E+00,1.29E-01
0.00398,8.58E+00,1.29E-01
0.004,8.58E+00,1.29E-01
0.00402,8.64E+00,1.29E-01
0.00404,8.64E+00,1.29E-01
0.00406,8.64E+00,1.29E-01
0.00408,8.70E+00,1.28E-01
0.0041,8.70E+00,1.28E-01
0.00412,8.70E+00,1.28E-01
0.00414,8.64E+00,1.28E-01
0.00416,8.70E+00,1.28E-01
0.00418,8.70E+00,1.28E-01
0.0042,8.64E+00,1.28E-01
0.00422,8.70E+00,1.28E-01
0.00424,8.51E+00,1.28E-01
0.00426,8.58E+00,1.29E-01
0.00428,8.51E+00,1.29E-01
0.0043,8.51E+00,1.29E-01
0.00432,8.45E+00,1.28E-01
0.00434,8.39E+00,1.28E-01
0.00436,8.26E+00,1.29E-01
0.00438,8.20E+00,1.29E-01
0.0044,8.26E+00,1.29E-01
0.00442,8.14E+00,1.29E-01
0.00444,8.08E+00,1.29E-01
0.00446,7.95E+00,1.29E-01
0.00448,7.83E+00,1.30E-01
0.0045,7.76E+00,1.29E-01
0.00452,7.70E+00,1.29E-01
0.00454,7.64E+00,1.29E-01
0.00456,7.51E+00,1.30E-01
0.00458,7.39E+00,1.30E-01
0.0046,7.33E+00,1.30E-01
0.00462,7.20E+00,1.31E-01
0.00464,7.08E+00,1.31E-01
0.00466,6.95E+00,1.31E-01
0.00468,6.83E+00,1.31E-01
0.0047,6.70E+00,1.31E-01
0.00472,6.58E+00,1.31E-01
0.00474,6.39E+00,1.31E-01
0.00476,6.33E+00,1.32E-01
0.00478,6.20E+00,1.32E-01
0.0048,6.08E+00,1.32E-01
0.00482,5.95E+00,1.32E-01
0.00484,5.76E+00,1.32E-01
0.00486,5.70E+00,1.33E-01
0.00488,5.51E+00,1.33E-01
0.0049,5.45E+00,1.33E-01
0.00492,5.20E+00,1.33E-01
0.00494,5.14E+00,1.33E-01
0.00496,4.95E+00,1.34E-01
0.00498,4.76E+00,1.34E-01
0.005,4.70E+00,1.34E-01
0.00502,4.51E+00,1.34E-01
0.00504,4.39E+00,1.35E-01
0.00506,4.20E+00,1.35E-01
0.00508,4.08E+00,1.35E-01
0.0051,4.01E+00,1.35E-01
0.00512,3.76E+00,1.35E-01
0.00514,3.70E+00,1.36E-01
0.00516,3.64E+00,1.37E-01
0.00518,3.45E+00,1.37E-01
0.0052,3.39E+00,1.37E-01
0.00522,3.20E+00,1.37E-01
