in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,8.651E+00,-1.170E+02,2.500E+00
2.00E+00,1.047E+01,8.847E+00,-1.185E+02,2.500E+00
3.00E+00,1.096E+01,8.980E+00,-1.194E+02,2.500E+00
4.00E+00,1.148E+01,9.221E+00,-1.215E+02,2.500E+00
5.00E+00,1.202E+01,9.344E+00,-1.221E+02,2.500E+00
6.00E+00,1.259E+01,9.529E+00,-1.239E+02,2.500E+00
7.00E+00,1.318E+01,9.688E+00,-1.257E+02,2.500E+00
8.00E+00,1.380E+01,9.836E+00,-1.269E+02,2.500E+00
9.00E+00,1.445E+01,9.898E+00,-1.275E+02,2.500E+00
1.00E+01,1.514E+01,1.011E+01,-1.299E+02,2.500E+00
1.10E+01,1.585E+01,1.022E+01,-1.306E+02,2.500E+00
1.20E+01,1.660E+01,1.034E+01,-1.320E+02,2.500E+00
1.30E+01,1.738E+01,1.045E+01,-1.329E+02,2.500E+00
1.40E+01,1.820E+01,1.057E+01,-1.344E+02,2.500E+00
1.50E+01,1.905E+01,1.069E+01,-1.358E+02,2.500E+00
1.60E+01,1.995E+01,1.095E+01,-1.353E+02,2.500E+00
1.70E+01,2.089E+01,1.103E+01,-1.356E+02,2.500E+00
1.80E+01,2.188E+01,1.115E+01,-1.368E+02,2.500E+00
1.90E+01,2.291E+01,1.120E+01,-1.377E+02,2.500E+00
2.00E+01,2.399E+01,1.133E+01,-1.401E+02,2.500E+00
2.10E+01,2.512E+01,1.140E+01,-1.397E+02,2.500E+00
2.20E+01,2.630E+01,1.147E+01,-1.409E+02,2.500E+00
2.30E+01,2.754E+01,1.153E+01,-1.417E+02,2.500E+00
2.40E+01,2.884E+01,1.165E+01,-1.441E+02,2.500E+00
2.50E+01,3.020E+01,9.878E+00,-1.637E+02,2.500E+00
2.60E+01,3.162E+01,9.890E+00,-1.644E+02,2.500E+00
2.70E+01,3.311E+01,9.917E+00,-1.651E+02,2.500E+00
2.80E+01,3.467E+01,9.950E+00,-1.659E+02,2.500E+00
2.90E+01,3.631E+01,9.984E+00,-1.665E+02,2.500E+00
3.00E+01,3.802E+01,9.986E+00,-1.671E+02,2.500E+00
3.10E+01,3.981E+01,1.002E+01,-1.676E+02,2.500E+00
3.20E+01,4.169E+01,1.002E+01,-1.682E+02,2.500E+00
3.30E+01,4.365E+01,1.005E+01,-1.689E+02,2.500E+00
3.40E+01,4.571E+01,1.006E+01,-1.694E+02,2.500E+00
3.50E+01,4.786E+01,1.008E+01,-1.700E+02,2.500E+00
3.60E+01,5.012E+01,1.010E+01,-1.705E+02,2.500E+00
3.70E+01,5.248E+01,1.009E+01,-1.708E+02,2.500E+00
3.80E+01,5.495E+01,1.010E+01,-1.714E+02,2.500E+00
3.90E+01,5.754E+01,1.011E+01,-1.719E+02,2.500E+00
4.00E+01,6.026E+01,1.014E+01,-1.722E+02,2.500E+00
4.10E+01,6.310E+01,1.014E+01,-1.727E+02,2.500E+00
4.20E+01,6.607E+01,1.013E+01,-1.731E+02,2.500E+00
4.30E+01,6.918E+01,1.015E+01,-1.734E+02,2.500E+00
4.40E+01,7.244E+01,1.015E+01,-1.738E+02,2.500E+00
4.50E+01,7.586E+01,1.017E+01,-1.742E+02,2.500E+00
4.60E+01,7.943E+01,1.017E+01,-1.745E+02,2.500E+00
4.70E+01,8.318E+01,1.018E+01,-1.748E+02,2.500E+00
4.80E+01,8.710E+01,1.018E+01,-1.752E+02,2.500E+00
4.90E+01,9.120E+01,1.017E+01,-1.755E+02,2.500E+00
5.00E+01,9.550E+01,1.017E+01,-1.758E+02,2.500E+00
5.10E+01,1.000E+02,1.019E+01,-1.760E+02,2.500E+00
5.20E+01,1.047E+02,1.019E+01,-1.764E+02,2.500E+00
5.30E+01,1.096E+02,1.022E+01,-1.766E+02,2.500E+00
5.40E+01,1.148E+02,1.021E+01,-1.769E+02,2.500E+00
5.50E+01,1.202E+02,1.022E+01,-1.772E+02,2.500E+00
5.60E+01,1.259E+02,1.021E+01,-1.774E+02,2.500E+00
5.70E+01,1.318E+02,1.020E+01,-1.777E+02,2.500E+00
5.80E+01,1.380E+02,1.020E+01,-1.779E+02,2.500E+00
5.90E+01,1.445E+02,1.020E+01,-1.782E+02,2.500E+00
6.00E+01,1.514E+02,1.020E+01,-1.784E+02,2.500E+00
6.10E+01,1.585E+02,1.020E+01,-1.787E+02,2.500E+00
6.20E+01,1.660E+02,1.020E+01,-1.790E+02,2.500E+00
6.30E+01,1.738E+02,1.021E+01,-1.793E+02,2.500E+00
6.40E+01,1.820E+02,1.021E+01,-1.794E+02,2.500E+00
6.50E+01,1.905E+02,1.019E+01,-1.796E+02,2.500E+00
6.60E+01,1.995E+02,1.018E+01,-1.798E+02,2.500E+00
6.70E+01,2.089E+02,1.018E+01,1.799E+02,2.500E+00
6.80E+01,2.188E+02,1.020E+01,1.796E+02,2.500E+00
6.90E+01,2.291E+02,1.021E+01,1.794E+02,2.500E+00
7.00E+01,2.399E+02,1.021E+01,1.791E+02,2.500E+00
7.10E+01,2.512E+02,1.020E+01,1.789E+02,2.500E+00
7.20E+01,2.630E+02,1.019E+01,1.787E+02,2.500E+00
7.30E+01,2.754E+02,1.018E+01,1.784E+02,2.500E+00
7.40E+01,2.884E+02,1.017E+01,1.782E+02,2.500E+00
7.50E+01,3.020E+02,1.017E+01,1.779E+02,2.500E+00
7.60E+01,3.162E+02,1.016E+01,1.776E+02,2.500E+00
7.70E+01,3.311E+02,1.016E+01,1.774E+02,2.500E+00
7.80E+01,3.467E+02,1.015E+01,1.770E+02,2.500E+00
7.90E+01,3.631E+02,1.014E+01,1.768E+02,2.500E+00
8.00E+01,3.802E+02,1.014E+01,1.765E+02,2.500E+00
8.10E+01,3.981E+02,1.011E+01,1.763E+02,2.500E+00
8.20E+01,4.169E+02,1.009E+01,1.760E+02,2.500E+00
8.30E+01,4.365E+02,1.008E+01,1.758E+02,2.500E+00
8.40E+01,4.571E+02,1.007E+01,1.754E+02,2.500E+00
8.50E+01,4.786E+02,1.007E+01,1.750E+02,2.500E+00
8.60E+01,5.012E+02,1.006E+01,1.747E+02,2.500E+00
8.70E+01,5.248E+02,1.004E+01,1.744E+02,2.500E+00
