in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-7.866E+00,-5.408E+01,2.500E+00
2.00E+00,1.047E+01,-7.189E+00,-5.638E+01,2.500E+00
3.00E+00,1.096E+01,-6.560E+00,-5.874E+01,2.500E+00
4.00E+00,1.148E+01,-5.988E+00,-6.070E+01,2.500E+00
5.00E+00,1.202E+01,-5.422E+00,-6.294E+01,2.500E+00
6.00E+00,1.259E+01,-4.809E+00,-6.538E+01,2.500E+00
7.00E+00,1.318E+01,-4.263E+00,-6.797E+01,2.500E+00
8.00E+00,1.380E+01,-3.730E+00,-7.027E+01,2.500E+00
9.00E+00,1.445E+01,-3.157E+00,-7.302E+01,2.500E+00
1.00E+01,1.514E+01,-2.704E+00,-7.521E+01,2.500E+00
1.10E+01,1.585E+01,-2.235E+00,-7.782E+01,2.500E+00
1.20E+01,1.660E+01,-1.714E+00,-8.054E+01,2.500E+00
1.30E+01,1.738E+01,-1.241E+00,-8.329E+01,2.500E+00
1.40E+01,1.820E+01,-8.194E-01,-8.583E+01,2.500E+00
1.50E+01,1.905E+01,-3.506E-01,-8.859E+01,2.500E+00
1.60E+01,1.995E+01,4.409E-02,-9.132E+01,2.500E+00
1.70E+01,2.089E+01,4.141E-01,-9.385E+01,2.500E+00
1.80E+01,2.188E+01,8.002E-01,-9.656E+01,2.500E+00
1.90E+01,2.291E+01,1.188E+00,-9.914E+01,2.500E+00
2.00E+01,2.399E+01,1.526E+00,-1.017E+02,2.500E+00
2.10E+01,2.512E+01,1.840E+00,-1.043E+02,2.500E+00
2.20E+01,2.630E+01,2.141E+00,-1.069E+02,2.500E+00
2.30E+01,2.754E+01,2.408E+00,-1.094E+02,2.500E+00
2.40E+01,2.884E+01,2.665E+00,-1.118E+02,2.500E+00
2.50E+01,3.020E+01,2.877E+00,-1.140E+02,2.500E+00
2.60E+01,3.162E+01,3.105E+00,-1.164E+02,2.500E+00
2.70E+01,3.311E+01,3.320E+00,-1.187E+02,2.500E+00
2.80E+01,3.467E+01,3.527E+00,-1.211E+02,2.500E+00
2.90E+01,3.631E+01,3.708E+00,-1.233E+02,2.500E+00
3.00E+01,3.802E+01,3.878E+00,-1.255E+02,2.500E+00
3.10E+01,3.981E+01,4.050E+00,-1.276E+02,2.500E+00
3.20E+01,4.169E+01,4.203E+00,-1.297E+02,2.500E+00
3.30E+01,4.365E+01,4.339E+00,-1.318E+02,2.500E+00
3.40E+01,4.571E+01,4.478E+00,-1.338E+02,2.500E+00
3.50E+01,4.786E+01,4.594E+00,-1.357E+02,2.500E+00
3.60E+01,5.012E+01,4.692E+00,-1.375E+02,2.500E+00
