in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,3.970E-01,-1.253E+02,2.500E+00
2.00E+00,1.047E+01,6.701E-01,-1.269E+02,2.500E+00
3.00E+00,1.096E+01,9.122E-01,-1.283E+02,2.500E+00
4.00E+00,1.148E+01,1.120E+00,-1.296E+02,2.500E+00
5.00E+00,1.202E+01,1.354E+00,-1.307E+02,2.500E+00
6.00E+00,1.259E+01,1.553E+00,-1.323E+02,2.500E+00
7.00E+00,1.318E+01,1.768E+00,-1.336E+02,2.500E+00
8.00E+00,1.380E+01,1.948E+00,-1.350E+02,2.500E+00
9.00E+00,1.445E+01,2.155E+00,-1.365E+02,2.500E+00
1.00E+01,1.514E+01,2.327E+00,-1.378E+02,2.500E+00
1.10E+01,1.585E+01,2.492E+00,-1.392E+02,2.500E+00
1.20E+01,1.660E+01,2.661E+00,-1.406E+02,2.500E+00
1.30E+01,1.738E+01,2.823E+00,-1.420E+02,2.500E+00
1.40E+01,1.820E+01,2.963E+00,-1.432E+02,2.500E+00
1.50E+01,1.905E+01,3.086E+00,-1.447E+02,2.500E+00
1.60E+01,1.995E+01,3.219E+00,-1.459E+02,2.500E+00
1.70E+01,2.089E+01,3.347E+00,-1.472E+02,2.500E+00
1.80E+01,2.188E+01,3.459E+00,-1.484E+02,2.500E+00
1.90E+01,2.291E+01,3.566E+00,-1.497E+02,2.500E+00
2.00E+01,2.399E+01,3.636E+00,-1.508E+02,2.500E+00
2.10E+01,2.512E+01,3.748E+00,-1.520E+02,2.500E+00
2.20E+01,2.630E+01,3.825E+00,-1.531E+02,2.500E+00
2.30E+01,2.754E+01,3.916E+00,-1.541E+02,2.500E+00
2.40E+01,2.884E+01,3.958E+00,-1.552E+02,2.500E+00
2.50E+01,3.020E+01,3.998E+00,-1.558E+02,2.500E+00
2.60E+01,3.162E+01,4.055E+00,-1.568E+02,2.500E+00
2.70E+01,3.311E+01,4.110E+00,-1.578E+02,2.500E+00
2.80E+01,3.467E+01,4.181E+00,-1.588E+02,2.500E+00
2.90E+01,3.631E+01,4.212E+00,-1.596E+02,2.500E+00
3.00E+01,3.802E+01,4.263E+00,-1.605E+02,2.500E+00
3.10E+01,3.981E+01,4.303E+00,-1.613E+02,2.500E+00
3.20E+01,4.169E+01,4.340E+00,-1.622E+02,2.500E+00
3.30E+01,4.365E+01,4.377E+00,-1.630E+02,2.500E+00
3.40E+01,4.571E+01,4.410E+00,-1.637E+02,2.500E+00
3.50E+01,4.786E+01,4.437E+00,-1.645E+02,2.500E+00
3.60E+01,5.012E+01,4.461E+00,-1.651E+02,2.500E+00
3.70E+01,5.248E+01,4.495E+00,-1.658E+02,2.500E+00
3.80E+01,5.495E+01,4.516E+00,-1.665E+02,2.500E+00
3.90E+01,5.754E+01,4.539E+00,-1.671E+02,2.500E+00
4.00E+01,6.026E+01,4.561E+00,-1.678E+02,2.500E+00
4.10E+01,6.310E+01,4.580E+00,-1.683E+02,2.500E+00
4.20E+01,6.607E+01,4.597E+00,-1.689E+02,2.500E+00
4.30E+01,6.918E+01,4.610E+00,-1.695E+02,2.500E+00
4.40E+01,7.244E+01,4.628E+00,-1.700E+02,2.500E+00
4.50E+01,7.586E+01,4.638E+00,-1.705E+02,2.500E+00
4.60E+01,7.943E+01,4.643E+00,-1.710E+02,2.500E+00
4.70E+01,8.318E+01,4.658E+00,-1.715E+02,2.500E+00
4.80E+01,8.710E+01,4.672E+00,-1.719E+02,2.500E+00
4.90E+01,9.120E+01,4.686E+00,-1.724E+02,2.500E+00
5.00E+01,9.550E+01,4.692E+00,-1.728E+02,2.500E+00
5.10E+01,1.000E+02,4.686E+00,-1.731E+02,2.500E+00
