in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-7.788E+01,1.657E+02,2.500E+00
2.00E+00,1.047E+01,-7.393E+01,-1.210E+02,2.500E+00
3.00E+00,1.096E+01,-8.755E+01,-1.198E+02,2.500E+00
4.00E+00,1.148E+01,-7.496E+01,-1.396E+02,2.500E+00
5.00E+00,1.202E+01,-7.434E+01,-1.771E+02,2.500E+00
6.00E+00,1.259E+01,-8.518E+01,-2.307E+01,2.500E+00
7.00E+00,1.318E+01,-7.771E+01,1.691E+02,2.500E+00
8.00E+00,1.380E+01,-7.990E+01,1.040E+02,2.500E+00
9.00E+00,1.445E+01,-8.656E+01,-1.512E+02,2.500E+00
1.00E+01,1.514E+01,-7.764E+01,-1.454E+02,2.500E+00
1.10E+01,1.585E+01,-8.102E+01,-8.322E+01,2.500E+00
1.20E+01,1.660E+01,-7.975E+01,-1.448E+02,2.500E+00
1.30E+01,1.738E+01,-7.962E+01,-1.639E+02,2.500E+00
1.40E+01,1.820E+01,-8.919E+01,-1.308E+02,2.500E+00
1.50E+01,1.905E+01,-8.835E+01,-1.152E+02,2.500E+00
1.60E+01,1.995E+01,-7.646E+01,1.648E+02,2.500E+00
1.70E+01,2.089E+01,-9.402E+01,8.581E+01,2.500E+00
1.80E+01,2.188E+01,-7.569E+01,-1.766E+02,2.500E+00
1.90E+01,2.291E+01,-7.502E+01,-1.736E+02,2.500E+00
2.00E+01,2.399E+01,-9.508E+01,-4.487E+01,2.500E+00
2.10E+01,2.512E+01,-8.326E+01,1.381E+02,2.500E+00
2.20E+01,2.630E+01,-7.752E+01,1.154E+02,2.500E+00
2.30E+01,2.754E+01,-8.038E+01,9.141E+01,2.500E+00
2.40E+01,2.884E+01,-7.634E+01,5.200E+01,2.500E+00
2.50E+01,3.020E+01,-7.852E+01,-1.728E+02,2.500E+00
2.60E+01,3.162E+01,-8.681E+01,-7.645E+01,2.500E+00
2.70E+01,3.311E+01,-7.826E+01,1.497E+02,2.500E+00
2.80E+01,3.467E+01,-8.240E+01,1.201E+02,2.500E+00
2.90E+01,3.631E+01,-8.290E+01,-1.603E+02,2.500E+00
3.00E+01,3.802E+01,-7.260E+01,-1.731E+02,2.500E+00
3.10E+01,3.981E+01,-7.895E+01,1.046E+02,2.500E+00
3.20E+01,4.169E+01,-7.533E+01,-1.261E+02,2.500E+00
3.30E+01,4.365E+01,-8.038E+01,1.097E+02,2.500E+00
3.40E+01,4.571E+01,-8.313E+01,-1.364E+02,2.500E+00
3.50E+01,4.786E+01,-7.800E+01,1.680E+02,2.500E+00
3.60E+01,5.012E+01,-7.615E+01,1.247E+02,2.500E+00
3.70E+01,5.248E+01,-7.846E+01,1.019E+02,2.500E+00
3.80E+01,5.495E+01,-7.650E+01,-5.477E+01,2.500E+00
3.90E+01,5.754E+01,-7.555E+01,-1.544E+02,2.500E+00
4.00E+01,6.026E+01,-7.877E+01,-1.726E+02,2.500E+00
4.10E+01,6.310E+01,-8.478E+01,-6.861E+01,2.500E+00
4.20E+01,6.607E+01,-9.098E+01,-1.174E+02,2.500E+00
4.30E+01,6.918E+01,-8.834E+01,1.379E+02,2.500E+00
4.40E+01,7.244E+01,-7.831E+01,1.690E+02,2.500E+00
4.50E+01,7.586E+01,-8.127E+01,1.378E+01,2.500E+00
4.60E+01,7.943E+01,-8.766E+01,3.574E+01,2.500E+00
4.70E+01,8.318E+01,-7.577E+01,1.181E+01,2.500E+00
4.80E+01,8.710E+01,-7.846E+01,-1.278E+02,2.500E+00
4.90E+01,9.120E+01,-8.063E+01,-1.649E+01,2.500E+00
5.00E+01,9.550E+01,-7.681E+01,1.323E+02,2.500E+00
5.10E+01,1.000E+02,-7.817E+01,1.223E+02,2.500E+00
5.20E+01,1.047E+02,-8.919E+01,6.973E+01,2.500E+00
5.30E+01,1.096E+02,-7.673E+01,-1.185E+02,2.500E+00
5.40E+01,1.148E+02,-7.392E+01,9.290E+01,2.500E+00
5.50E+01,1.202E+02,-7.559E+01,-1.180E+02,2.500E+00
5.60E+01,1.259E+02,-7.298E+01,1.681E+02,2.500E+00
5.70E+01,1.318E+02,-8.246E+01,1.161E+02,2.500E+00
5.80E+01,1.380E+02,-7.945E+01,9.636E+01,2.500E+00
5.90E+01,1.445E+02,-7.959E+01,-1.298E+02,2.500E+00
6.00E+01,1.514E+02,-7.368E+01,-9.950E+00,2.500E+00
6.10E+01,1.585E+02,-7.376E+01,-1.430E+02,2.500E+00
6.20E+01,1.660E+02,-7.710E+01,9.378E+01,2.500E+00
6.30E+01,1.738E+02,-7.431E+01,9.917E+01,2.500E+00
6.40E+01,1.820E+02,-7.533E+01,1.422E+02,2.500E+00
6.50E+01,1.905E+02,-7.586E+01,-2.125E+01,2.500E+00
6.60E+01,1.995E+02,-8.368E+01,-8.465E+01,2.500E+00
6.70E+01,2.089E+02,-7.479E+01,1.064E+02,2.500E+00
6.80E+01,2.188E+02,-7.457E+01,9.011E+01,2.500E+00
6.90E+01,2.291E+02,-8.835E+01,5.266E+01,2.500E+00
7.00E+01,2.399E+02,-7.230E+01,-5.938E+01,2.500E+00
7.10E+01,2.512E+02,-7.338E+01,1.644E+02,2.500E+00
7.20E+01,2.630E+02,-8.394E+01,1.524E+02,2.500E+00
7.30E+01,2.754E+02,-7.324E+01,7.976E+01,2.500E+00
7.40E+01,2.884E+02,-8.545E+01,-9.492E+01,2.500E+00
7.50E+01,3.020E+02,-7.506E+01,4.009E+01,2.500E+00
7.60E+01,3.162E+02,-6.583E+01,-1.522E+02,2.500E+00
7.70E+01,3.311E+02,-7.649E+01,-9.098E+01,2.500E+00
7.80E+01,3.467E+02,-7.441E+01,-1.020E+02,2.500E+00
7.90E+01,3.631E+02,-6.867E+01,1.019E+02,2.500E+00
8.00E+01,3.802E+02,-8.500E+01,7.403E+01,2.500E+00
8.10E+01,3.981E+02,-6.850E+01,-6.212E+01,2.500E+00
8.20E+01,4.169E+02,-7.571E+01,1.673E+02,2.500E+00
8.30E+01,4.365E+02,-7.075E+01,-8.667E+01,2.500E+00
8.40E+01,4.571E+02,-6.964E+01,6.050E+01,2.500E+00
8.50E+01,4.786E+02,-7.524E+01,-3.609E+01,2.500E+00
8.60E+01,5.012E+02,-7.519E+01,1.079E+02,2.500E+00
8.70E+01,5.248E+02,-6.654E+01,-3.971E+01,2.500E+00
8.80E+01,5.495E+02,-7.075E+01,1.693E+02,2.500E+00
8.90E+01,5.754E+02,-6.943E+01,1.175E+02,2.500E+00
9.00E+01,6.026E+02,-7.594E+01,-5.981E+01,2.500E+00
9.10E+01,6.310E+02,-8.705E+01,-1.232E+02,2.500E+00
9.20E+01,6.607E+02,-7.135E+01,-1.251E+02,2.500E+00
9.30E+01,6.918E+02,-6.519E+01,1.047E+01,2.500E+00
9.40E+01,7.244E+02,-7.731E+01,-1.484E+02,2.500E+00
9.50E+01,7.586E+02,-7.274E+01,1.419E+02,2.500E+00
9.60E+01,7.943E+02,-7.910E+01,1.366E+02,2.500E+00
9.70E+01,8.318E+02,-6.622E+01,-6.406E+01,2.500E+00
9.80E+01,8.710E+02,-8.862E+01,-1.004E+02,2.500E+00
9.90E+01,9.120E+02,-7.448E+01,-1.197E+02,2.500E+00
1.00E+02,9.550E+02,-6.680E+01,5.403E+01,2.500E+00
1.01E+02,1.000E+03,-7.606E+01,5.837E+01,2.500E+00
