in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-4.320E+01,9.500E+01,2.500E+00
2.00E+00,1.047E+01,-4.261E+01,8.318E+01,2.500E+00
3.00E+00,1.096E+01,-4.203E+01,1.019E+02,2.500E+00
4.00E+00,1.148E+01,-4.127E+01,9.641E+01,2.500E+00
5.00E+00,1.202E+01,-4.171E+01,9.798E+01,2.500E+00
6.00E+00,1.259E+01,-4.042E+01,9.089E+01,2.500E+00
7.00E+00,1.318E+01,-4.054E+01,9.162E+01,2.500E+00
8.00E+00,1.380E+01,-4.082E+01,8.913E+01,2.500E+00
9.00E+00,1.445E+01,-4.021E+01,9.675E+01,2.500E+00
1.00E+01,1.514E+01,-3.961E+01,9.691E+01,2.500E+00
1.10E+01,1.585E+01,-3.879E+01,9.278E+01,2.500E+00
1.20E+01,1.660E+01,-3.833E+01,9.042E+01,2.500E+00
1.30E+01,1.738E+01,-3.793E+01,9.681E+01,2.500E+00
1.40E+01,1.820E+01,-3.743E+01,9.428E+01,2.500E+00
1.50E+01,1.905E+01,-3.744E+01,8.786E+01,2.500E+00
1.60E+01,1.995E+01,-3.706E+01,9.480E+01,2.500E+00
1.70E+01,2.089E+01,-3.616E+01,9.179E+01,2.500E+00
1.80E+01,2.188E+01,-3.627E+01,9.077E+01,2.500E+00
1.90E+01,2.291E+01,-3.583E+01,9.229E+01,2.500E+00
2.00E+01,2.399E+01,-3.606E+01,9.848E+01,2.500E+00
2.10E+01,2.512E+01,-3.473E+01,8.829E+01,2.500E+00
2.20E+01,2.630E+01,-3.489E+01,9.525E+01,2.500E+00
2.30E+01,2.754E+01,-3.495E+01,8.821E+01,2.500E+00
2.40E+01,2.884E+01,-3.460E+01,9.225E+01,2.500E+00
2.50E+01,3.020E+01,-3.411E+01,8.738E+01,2.500E+00
2.60E+01,3.162E+01,-3.374E+01,8.719E+01,2.500E+00
2.70E+01,3.311E+01,-3.323E+01,9.425E+01,2.500E+00
2.80E+01,3.467E+01,-3.293E+01,9.478E+01,2.500E+00
2.90E+01,3.631E+01,-3.214E+01,8.726E+01,2.500E+00
3.00E+01,3.802E+01,-3.208E+01,8.715E+01,2.500E+00
3.10E+01,3.981E+01,-3.116E+01,8.879E+01,2.500E+00
3.20E+01,4.169E+01,-3.123E+01,9.140E+01,2.500E+00
3.30E+01,4.365E+01,-3.052E+01,8.771E+01,2.500E+00
3.40E+01,4.571E+01,-3.023E+01,9.109E+01,2.500E+00
3.50E+01,4.786E+01,-3.003E+01,8.695E+01,2.500E+00
3.60E+01,5.012E+01,-2.938E+01,8.876E+01,2.500E+00
3.70E+01,5.248E+01,-2.915E+01,9.182E+01,2.500E+00
3.80E+01,5.495E+01,-2.836E+01,9.082E+01,2.500E+00
3.90E+01,5.754E+01,-2.824E+01,8.970E+01,2.500E+00
4.00E+01,6.026E+01,-2.840E+01,8.985E+01,2.500E+00
4.10E+01,6.310E+01,-2.728E+01,8.654E+01,2.500E+00
4.20E+01,6.607E+01,-2.757E+01,8.910E+01,2.500E+00
4.30E+01,6.918E+01,-2.690E+01,8.881E+01,2.500E+00
4.40E+01,7.244E+01,-2.638E+01,8.932E+01,2.500E+00
4.50E+01,7.586E+01,-2.566E+01,8.894E+01,2.500E+00
4.60E+01,7.943E+01,-2.530E+01,8.787E+01,2.500E+00
4.70E+01,8.318E+01,-2.483E+01,8.969E+01,2.500E+00
4.80E+01,8.710E+01,-2.445E+01,9.048E+01,2.500E+00
4.90E+01,9.120E+01,-2.432E+01,8.976E+01,2.500E+00
5.00E+01,9.550E+01,-2.355E+01,8.942E+01,2.500E+00
5.10E+01,1.000E+02,-2.353E+01,9.011E+01,2.500E+00
5.20E+01,1.047E+02,-2.330E+01,8.906E+01,2.500E+00
5.30E+01,1.096E+02,-2.308E+01,8.836E+01,2.500E+00
