in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-4.192E+01,9.561E+01,2.500E+00
2.00E+00,1.047E+01,-4.174E+01,9.744E+01,2.500E+00
3.00E+00,1.096E+01,-4.160E+01,8.785E+01,2.500E+00
4.00E+00,1.148E+01,-4.155E+01,8.140E+01,2.500E+00
5.00E+00,1.202E+01,-4.123E+01,9.075E+01,2.500E+00
6.00E+00,1.259E+01,-3.926E+01,8.783E+01,2.500E+00
7.00E+00,1.318E+01,-3.983E+01,8.340E+01,2.500E+00
8.00E+00,1.380E+01,-3.952E+01,9.360E+01,2.500E+00
9.00E+00,1.445E+01,-3.901E+01,8.888E+01,2.500E+00
1.00E+01,1.514E+01,-3.849E+01,8.752E+01,2.500E+00
1.10E+01,1.585E+01,-3.856E+01,8.211E+01,2.500E+00
1.20E+01,1.660E+01,-3.852E+01,9.235E+01,2.500E+00
1.30E+01,1.738E+01,-3.727E+01,9.074E+01,2.500E+00
1.40E+01,1.820E+01,-3.815E+01,8.905E+01,2.500E+00
1.50E+01,1.905E+01,-3.756E+01,8.739E+01,2.500E+00
1.60E+01,1.995E+01,-3.719E+01,8.766E+01,2.500E+00
1.70E+01,2.089E+01,-3.656E+01,8.958E+01,2.500E+00
1.80E+01,2.188E+01,-3.602E+01,8.754E+01,2.500E+00
1.90E+01,2.291E+01,-3.547E+01,9.015E+01,2.500E+00
2.00E+01,2.399E+01,-3.440E+01,8.907E+01,2.500E+00
2.10E+01,2.512E+01,-3.590E+01,8.739E+01,2.500E+00
2.20E+01,2.630E+01,-3.445E+01,8.935E+01,2.500E+00
2.30E+01,2.754E+01,-3.338E+01,8.837E+01,2.500E+00
2.40E+01,2.884E+01,-3.345E+01,9.195E+01,2.500E+00
2.50E+01,3.020E+01,-3.304E+01,8.762E+01,2.500E+00
2.60E+01,3.162E+01,-3.241E+01,8.627E+01,2.500E+00
2.70E+01,3.311E+01,-3.273E+01,8.658E+01,2.500E+00
2.80E+01,3.467E+01,-3.215E+01,8.970E+01,2.500E+00
2.90E+01,3.631E+01,-3.141E+01,8.579E+01,2.500E+00
3.00E+01,3.802E+01,-3.221E+01,8.797E+01,2.500E+00
3.10E+01,3.981E+01,-3.061E+01,8.711E+01,2.500E+00
3.20E+01,4.169E+01,-3.071E+01,8.443E+01,2.500E+00
3.30E+01,4.365E+01,-3.011E+01,8.437E+01,2.500E+00
3.40E+01,4.571E+01,-3.020E+01,8.639E+01,2.500E+00
3.50E+01,4.786E+01,-2.935E+01,8.608E+01,2.500E+00
3.60E+01,5.012E+01,-2.953E+01,9.003E+01,2.500E+00
3.70E+01,5.248E+01,-2.854E+01,8.585E+01,2.500E+00
3.80E+01,5.495E+01,-2.806E+01,8.424E+01,2.500E+00
3.90E+01,5.754E+01,-2.806E+01,8.566E+01,2.500E+00
4.00E+01,6.026E+01,-2.776E+01,8.531E+01,2.500E+00
4.10E+01,6.310E+01,-2.727E+01,8.390E+01,2.500E+00
4.20E+01,6.607E+01,-2.651E+01,8.623E+01,2.500E+00
4.30E+01,6.918E+01,-2.665E+01,8.977E+01,2.500E+00
4.40E+01,7.244E+01,-2.571E+01,8.396E+01,2.500E+00
4.50E+01,7.586E+01,-2.574E+01,8.544E+01,2.500E+00
4.60E+01,7.943E+01,-2.490E+01,8.559E+01,2.500E+00
4.70E+01,8.318E+01,-2.494E+01,8.702E+01,2.500E+00
4.80E+01,8.710E+01,-2.420E+01,8.876E+01,2.500E+00
4.90E+01,9.120E+01,-2.389E+01,8.778E+01,2.500E+00
5.00E+01,9.550E+01,-2.375E+01,8.779E+01,2.500E+00
5.10E+01,1.000E+02,-2.320E+01,8.574E+01,2.500E+00
5.20E+01,1.047E+02,-2.272E+01,8.697E+01,2.500E+00
5.30E+01,1.096E+02,-2.247E+01,8.715E+01,2.500E+00
5.40E+01,1.148E+02,-2.210E+01,8.615E+01,2.500E+00
5.50E+01,1.202E+02,-2.163E+01,8.594E+01,2.500E+00
5.60E+01,1.259E+02,-2.116E+01,8.640E+01,2.500E+00
5.70E+01,1.318E+02,-2.063E+01,8.497E+01,2.500E+00
5.80E+01,1.380E+02,-2.024E+01,8.563E+01,2.500E+00
5.90E+01,1.445E+02,-2.017E+01,8.507E+01,2.500E+00
6.00E+01,1.514E+02,-1.987E+01,8.632E+01,2.500E+00
6.10E+01,1.585E+02,-1.911E+01,8.549E+01,2.500E+00
6.20E+01,1.660E+02,-1.888E+01,8.547E+01,2.500E+00
6.30E+01,1.738E+02,-1.832E+01,8.553E+01,2.500E+00
6.40E+01,1.820E+02,-1.809E+01,8.468E+01,2.500E+00
6.50E+01,1.905E+02,-1.778E+01,8.495E+01,2.500E+00
6.60E+01,1.995E+02,-1.733E+01,8.501E+01,2.500E+00
6.70E+01,2.089E+02,-1.674E+01,8.387E+01,2.500E+00
6.80E+01,2.188E+02,-1.642E+01,8.539E+01,2.500E+00
6.90E+01,2.291E+02,-1.610E+01,8.459E+01,2.500E+00
7.00E+01,2.399E+02,-1.564E+01,8.461E+01,2.500E+00
7.10E+01,2.512E+02,-1.546E+01,8.293E+01,2.500E+00
7.20E+01,2.630E+02,-1.474E+01,8.338E+01,2.500E+00
7.30E+01,2.754E+02,-1.446E+01,8.354E+01,2.500E+00
7.40E+01,2.884E+02,-1.404E+01,8.255E+01,2.500E+00
7.50E+01,3.020E+02,-1.381E+01,8.261E+01,2.500E+00
7.60E+01,3.162E+02,-1.324E+01,8.241E+01,2.500E+00
7.70E+01,3.311E+02,-1.299E+01,8.224E+01,2.500E+00
7.80E+01,3.467E+02,-1.252E+01,8.219E+01,2.500E+00
7.90E+01,3.631E+02,-1.224E+01,8.155E+01,2.500E+00
8.00E+01,3.802E+02,-1.161E+01,8.175E+01,2.500E+00
8.10E+01,3.981E+02,-1.141E+01,8.061E+01,2.500E+00
8.20E+01,4.169E+02,-1.098E+01,8.031E+01,2.500E+00
8.30E+01,4.365E+02,-1.069E+01,7.998E+01,2.500E+00
8.40E+01,4.571E+02,-1.018E+01,8.045E+01,2.500E+00
8.50E+01,4.786E+02,-9.816E+00,7.930E+01,2.500E+00
